Validator,PT_VERSION,2.10.0
Validator,HIP_VERSION,701
Validator,HIPBLASLT_VERSION,100100-f6fa39dccf
Validator,GCN_ARCH_NAME,gfx1151
Validator,ROCBLAS_VERSION,5.1.0.f6fa39dccf
GemmTunableOp_BFloat16_TN,tn_12288_7168_4096_ld_4096_4096_12288,Gemm_Rocblas_-1162085590,32.8006
GemmTunableOp_BFloat16_TN,tn_12288_7168_3072_ld_3072_3072_12288,Gemm_Rocblas_-1162085590,20.1917
GemmTunableOp_BFloat16_TN,tn_12288_7168_2048_ld_2048_2048_12288,Gemm_Hipblaslt_503,17.2307
GemmTunableOp_BFloat16_TN,tn_12288_7168_1024_ld_1024_1024_12288,Gemm_Rocblas_-1162085569,6.28432
GemmTunableOp_BFloat16_TN,tn_5120_9216_15360_ld_15360_15360_5120,Gemm_Rocblas_-1162085580,63.2995
GemmTunableOp_BFloat16_TN,tn_11264_7168_13312_ld_13312_13312_11264,Gemm_Rocblas_-1162085580,85.5693
GemmTunableOp_BFloat16_TN,tn_11264_7168_11264_ld_11264_11264_11264,Gemm_Rocblas_-1162085587,72.9948
GemmTunableOp_BFloat16_TN,tn_11264_7168_10240_ld_10240_10240_11264,Default,75.2909
GemmTunableOp_BFloat16_TN,tn_2048_8192_8192_ld_8192_8192_2048,Gemm_Rocblas_-1162085588,13.831
GemmTunableOp_BFloat16_TN,tn_11264_7168_7168_ld_7168_7168_11264,Default,43.246
GemmTunableOp_BFloat16_TN,tn_11264_7168_6144_ld_6144_6144_11264,Gemm_Rocblas_-1162085592,43.2476
GemmTunableOp_BFloat16_TN,tn_2048_8192_3072_ld_3072_3072_2048,Gemm_Rocblas_-1162085578,3.74645
GemmTunableOp_BFloat16_TN,tn_11264_7168_3072_ld_3072_3072_11264,Gemm_Rocblas_-1162085590,18.1047
GemmTunableOp_BFloat16_TN,tn_10240_7168_15360_ld_15360_15360_10240,Gemm_Rocblas_-1162085575,97.1418
GemmTunableOp_BFloat16_TN,tn_10240_7168_10240_ld_10240_10240_10240,Gemm_Rocblas_-1162085587,69.5429
GemmTunableOp_BFloat16_TN,tn_1024_8192_12288_ld_12288_12288_1024,Gemm_Rocblas_-1162085566,10.9163
GemmTunableOp_BFloat16_TN,tn_10240_7168_9216_ld_9216_9216_10240,Gemm_Rocblas_-1162085587,52.1832
